wpm,filler_rate,pause_count,total_pause_duration,rms_loudness,prosody_variance,repetition_count,self_correction_count,speech_fluency_score
122.6,8.62,2,1.33,0.094,0.512,2,0,35.0
142.7,0.51,2,0.83,0.106,0.483,1,0,90.8
135.5,5.07,3,4.05,0.096,0.842,0,1,61.3
133.1,3.75,4,1.46,0.136,0.654,2,1,60.7
151.5,3.68,3,1.88,0.116,0.665,3,0,64.6
154.7,4.66,3,1.88,0.153,0.591,1,0,67.2
126.3,3.58,1,0.65,0.166,0.465,1,1,63.4
125.3,2.46,4,1.92,0.163,0.479,0,1,77.0
131.9,0.35,7,8.13,0.124,0.492,1,0,79.1
87.4,0.08,6,2.61,0.151,0.548,0,0,77.4
104.7,6.34,6,5.99,0.181,0.578,0,0,45.1
168.1,2.4,5,2.18,0.158,0.52,1,0,69.1
174.2,3.98,3,1.13,0.214,0.476,1,0,54.2
132.5,1.64,2,2.6,0.179,0.431,0,1,77.4
150.7,0.31,5,2.55,0.209,0.311,0,1,85.6
144.8,0.33,6,7.22,0.04,0.713,1,0,91.3
205.7,2.89,0,0.0,0.144,0.851,0,1,61.5
162.6,1.41,6,2.31,0.127,0.7,2,0,73.7
135.2,0.56,3,4.05,0.135,0.331,0,2,78.1
117.0,1.69,4,2.29,0.108,0.638,1,0,80.0
102.7,0.17,4,4.98,0.156,0.674,0,1,73.8
142.5,2.18,3,1.46,0.068,0.459,2,1,71.0
121.4,0.78,10,12.39,0.156,0.593,0,0,80.7
106.7,3.99,1,0.31,0.109,0.452,0,1,60.8
123.8,0.93,5,4.31,0.12,0.749,1,0,79.1
114.2,1.52,2,2.29,0.158,0.575,1,0,74.5
175.1,0.03,2,2.66,0.143,0.382,0,1,71.4
157.4,0.19,3,3.9,0.182,0.62,3,0,70.5
137.8,1.25,7,8.41,0.101,0.679,0,0,83.4
170.6,1.63,1,1.28,0.137,0.55,1,2,60.7
139.7,2.29,2,1.04,0.176,0.592,1,0,77.6
119.1,0.86,4,2.45,0.154,0.51,1,1,74.5
171.5,2.97,6,3.71,0.157,0.35,1,0,69.0
149.9,4.92,1,0.71,0.184,0.497,0,0,66.7
115.2,3.78,4,2.93,0.124,0.598,0,0,73.1
133.8,0.1,6,5.39,0.115,0.501,1,1,78.5
118.7,1.64,3,1.43,0.163,0.64,2,1,64.7
107.6,0.28,5,5.3,0.134,0.461,1,3,57.4
158.4,0.69,3,1.45,0.185,0.471,2,1,72.2
180.0,10.79,4,2.57,0.155,0.645,0,1,35.0
107.2,0.38,6,5.12,0.115,0.553,0,2,67.2
150.4,1.73,2,2.35,0.154,0.458,1,0,78.9
123.7,2.41,3,3.34,0.104,0.675,1,0,71.6
127.3,3.03,3,3.03,0.178,0.417,1,1,63.1
125.0,2.05,4,1.89,0.084,0.411,1,1,66.6
119.0,0.02,9,8.12,0.189,0.15,1,1,75.7
139.1,0.99,6,2.38,0.153,0.437,0,1,84.4
119.7,1.82,6,4.29,0.133,0.716,0,0,84.9
144.0,0.23,5,3.77,0.171,0.209,1,0,86.8
136.9,1.08,1,0.34,0.16,0.377,1,0,78.3
132.7,0.08,0,0.0,0.193,0.586,2,1,80.8
118.0,0.2,9,12.16,0.193,0.183,0,1,69.6
125.3,1.26,2,2.7,0.154,0.443,0,0,75.3
154.6,0.36,5,3.44,0.105,0.691,0,0,89.1
149.0,2.1,4,1.39,0.118,0.826,0,0,85.2
116.5,2.92,2,0.99,0.137,0.564,1,0,72.3
140.2,4.03,4,2.93,0.183,0.381,1,2,57.8
154.5,0.56,0,0.0,0.122,0.376,1,1,80.6
101.3,0.46,3,1.37,0.125,0.542,1,0,73.6
150.0,0.28,3,3.42,0.214,0.562,1,0,85.7
123.4,2.53,4,1.68,0.136,0.799,2,0,73.0
150.6,3.06,2,2.76,0.115,0.666,0,0,77.6
121.2,0.08,1,0.72,0.171,0.533,1,2,71.7
98.3,6.88,0,0.0,0.138,0.47,0,0,38.5
102.2,0.13,2,1.35,0.084,0.95,3,2,60.8
139.1,1.95,6,5.94,0.182,0.614,2,1,67.5
143.7,3.09,3,1.53,0.11,0.42,2,2,59.8
118.1,5.12,4,1.84,0.142,0.486,0,1,53.2
152.0,3.13,4,5.33,0.137,0.388,1,0,68.9
101.4,4.05,2,2.62,0.149,0.159,0,0,55.0
136.5,1.04,3,3.83,0.052,0.567,2,0,81.1
111.4,4.22,3,2.96,0.127,0.787,0,0,65.1
123.7,0.21,4,4.76,0.185,0.275,1,0,76.6
139.0,5.63,4,1.5,0.191,0.528,0,0,63.6
119.1,1.98,1,0.67,0.1,0.414,1,0,74.9
129.5,4.25,5,3.23,0.177,0.598,1,0,61.3
160.1,1.51,3,3.0,0.11,0.494,0,0,79.3
125.3,2.58,6,4.15,0.125,0.316,0,1,68.6
156.4,1.87,3,1.39,0.127,0.373,2,0,72.7
113.1,3.29,8,7.65,0.144,0.395,0,3,53.1
149.7,0.21,4,4.78,0.18,0.722,0,0,91.5
169.7,0.16,8,5.76,0.151,0.714,1,1,71.3
83.6,0.71,4,1.78,0.135,0.473,0,0,67.5
120.5,0.43,4,2.07,0.179,0.704,1,0,83.1
150.7,5.14,5,2.81,0.108,0.494,1,1,53.7
133.5,0.62,5,3.15,0.137,0.471,0,2,79.4
146.2,9.31,4,4.03,0.18,0.529,0,1,35.0
124.7,1.03,2,1.92,0.161,0.563,0,1,83.4
139.9,0.5,3,3.2,0.121,0.437,2,1,70.0
134.6,3.9,5,3.49,0.079,0.523,0,1,69.1
163.7,2.69,0,0.0,0.152,0.638,1,0,74.5
143.6,1.72,2,1.05,0.077,0.539,0,2,79.6
145.4,2.03,4,3.26,0.131,0.526,0,0,87.1
128.9,3.18,4,4.72,0.187,0.594,0,0,76.3
127.3,0.65,3,1.49,0.164,0.62,2,3,63.4
128.5,12.0,4,1.68,0.059,0.511,1,0,35.0
146.7,9.2,9,11.45,0.148,0.449,0,1,35.0
128.7,2.63,0,0.0,0.127,0.548,0,0,78.2
144.4,0.56,4,4.21,0.089,0.281,1,1,76.4
183.7,2.85,0,0.0,0.153,0.488,1,0,65.6
157.2,0.19,5,5.3,0.12,0.15,0,0,83.8
130.8,0.08,4,2.59,0.121,0.269,0,0,85.4
164.4,0.74,4,1.45,0.145,0.246,1,0,74.5
129.0,1.55,3,2.91,0.115,0.677,1,0,85.5
93.2,5.07,5,2.82,0.144,0.522,0,0,51.1
115.8,3.25,4,2.9,0.116,0.331,1,1,57.0
96.8,3.39,2,0.78,0.118,0.594,0,0,64.4
130.3,1.39,7,3.23,0.18,0.668,0,0,92.2
138.4,1.06,5,3.14,0.184,0.596,1,0,85.4
174.9,1.16,2,0.8,0.072,0.492,0,1,75.6
145.2,10.99,8,10.42,0.17,0.555,1,1,35.0
133.2,0.1,1,0.31,0.196,0.655,0,0,88.3
156.2,5.04,4,3.33,0.202,0.45,0,0,60.5
89.4,2.16,4,1.74,0.161,0.524,1,0,65.7
143.2,1.44,1,0.64,0.098,0.481,0,0,86.9
155.0,3.23,3,3.96,0.165,0.278,0,1,65.4
105.5,1.67,3,1.43,0.105,0.657,0,0,75.4
163.2,5.17,6,8.17,0.126,0.829,1,0,54.6
145.4,5.77,4,2.11,0.155,0.389,0,0,59.2
128.9,1.37,4,4.46,0.108,0.664,1,1,76.9
151.9,0.81,1,0.9,0.094,0.394,1,0,82.3
188.0,2.24,6,7.64,0.159,0.54,0,0,66.8
142.0,6.09,3,2.73,0.215,0.746,1,2,54.7
143.5,0.59,3,2.66,0.19,0.442,1,0,90.6
127.9,2.44,3,1.55,0.168,0.518,0,1,69.5
119.3,2.5,4,1.93,0.179,0.25,3,1,53.9
156.3,3.3,6,7.85,0.166,0.42,0,1,71.0
119.2,0.35,7,4.62,0.158,0.234,0,2,71.7
139.6,3.15,2,1.42,0.176,0.584,0,1,80.6
127.5,5.99,3,3.41,0.085,0.645,1,0,50.4
148.5,0.5,3,2.02,0.148,0.487,1,2,75.6
145.3,0.68,4,5.39,0.137,0.563,0,1,85.6
160.8,8.89,4,4.45,0.143,0.471,0,0,35.0
126.8,0.5,3,2.87,0.122,0.631,2,0,80.3
132.1,4.82,5,6.34,0.161,0.539,0,0,67.5
116.5,1.69,5,1.77,0.107,0.222,1,0,74.1
128.2,0.71,4,2.33,0.119,0.661,1,0,85.3
146.3,5.12,8,6.49,0.114,0.462,0,0,69.5
